Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
3,480,METODOS NUMERICOS,M,1310,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A11202
3,71,ELECTRICIDAD Y MAGNETISMO (L),M,1311,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A11203
3,1311,EMPRENDIMIENTO 2,M,1311,"10,00 - 12,00",,"10,00 - 12,00",,,,A8120
3,1303,ECUACIONES DIFERENCIALES,T,1357,,"15,15 - 17,30",,"15,15 - 17,30",,,A211
3,71,ELECTRICIDAD Y MAGNETISMO (L),T,1357,"16,00 - 17,30",,"16,00 - 17,30",,"16,00 - 17,30",,A212
3,1311,EMPRENDIMIENTO 2,T,1357,"17,30 - 19,00",,"17,30 - 19,00",,"17,30 - 19,00",,A214
3,190,ESTRUCTURA DE DATOS,T,1357,,"17,45 - 19,45",,"17,45 - 19,45",,,A212
3,480,METODOS NUMERICOS,T,1357,"19,00 - 20,30",,"19,00 - 20,30",,"19,00 - 20,30",,A213
3,1303,ECUACIONES DIFERENCIALES,T,1358,"17,30 - 19,00",,"17,30 - 19,00",,"17,30 - 19,00",,A507
3,71,ELECTRICIDAD Y MAGNETISMO (L),T,1358,"19,00 - 20,30",,"19,00 - 20,30",,"19,00 - 20,30",,A211
3,1311,EMPRENDIMIENTO 2,T,1358,"16,00 - 17,20",,"16,00 - 17,20",,"16,00 - 17,20",,A211
3,190,ESTRUCTURA DE DATOS,T,1358,,"17,00 - 19,00",,"17,00 - 19,00",,,A8121
3,480,METODOS NUMERICOS,T,1358,"13,00 - 14,30",,"13,00 - 14,30",,"13,00 - 14,30",,A507
3,1303,ECUACIONES DIFERENCIALES,T,1359,,"17,30 - 19,45",,"17,30 - 19,45",,,A211
3,71,ELECTRICIDAD Y MAGNETISMO (L),T,1359,"16,00 - 17,30",,"16,00 - 17,30",,"16,00 - 17,30",,A507
3,1311,EMPRENDIMIENTO 2,T,1359,"17,30 - 18,50",,"17,30 - 18,50",,"17,30 - 18,50",,A215
3,190,ESTRUCTURA DE DATOS,T,1359,,"13,00 - 15,00",,"13,00 - 15,00",,,A212
3,480,METODOS NUMERICOS,T,1359,"13,00 - 14,30",,"13,00 - 14,30",,"13,00 - 14,30",,A214
3,1303,ECUACIONES DIFERENCIALES,T,1360,,"12,45 - 15,00",,"12,45 - 15,00",,,A506
3,71,ELECTRICIDAD Y MAGNETISMO (L),T,1360,,"17,45 - 19,45",,"17,45 - 19,45",,,A505
3,1311,EMPRENDIMIENTO 2,T,1360,"17,00 - 19,00",,"17,00 - 19,00",,,,A505
3,190,ESTRUCTURA DE DATOS,T,1360,"14,40 - 16,00",,"14,40 - 16,00",,"14,40 - 16,00",,A211
3,480,METODOS NUMERICOS,T,1360,"20,30 - 22,00",,"20,30 - 22,00",,"20,30 - 22,00",,A8119
4,1417,BASES DE DATOS 1,M,1407,,,,,,"07,00 - 11,00",VIRTUAL
4,1522,DISPOSITIVOS ELECTRONICOS (L),M,1407,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A8120
4,1418,EMPRENDIMIENTO 3,M,1407,,"11,00 - 13,00",,"11,00 - 13,00",,,A8117
4,1419,MATEMATICAS DISCRETAS,M,1407,"11,00 - 13,00",,"11,00 - 13,00",,,,A8121
4,712,PROBABILIDAD Y ESTADISTICA,M,1407,"08,30 - 10,00",,"08,30 - 10,00",,"08,30 - 10,00",,A8118
4,1418,EMPRENDIMIENTO 3,M,1408,"08,30 - 09,50",,"08,30 - 09,50",,"08,30 - 09,50",,A8117
4,712,PROBABILIDAD Y ESTADISTICA,M,1408,,"13,00 - 15,15",,"13,00 - 15,15",,,A8120
4,1417,BASES DE DATOS 1,T,1457,,"20,00 - 22,00",,"20,00 - 22,00",,,A203
4,1522,DISPOSITIVOS ELECTRONICOS (L),T,1457,"20,00 - 21,20",,"20,00 - 21,20",,"20,00 - 21,20",,Sala de capacitación
4,1418,EMPRENDIMIENTO 3,T,1457,"20,30 - 21,50",,"20,30 - 21,50",,"20,30 - 21,50",,A8120
4,1419,MATEMATICAS DISCRETAS,T,1457,"14,30 - 16,00",,"14,30 - 16,00",,"14,30 - 16,00",,A8118
4,712,PROBABILIDAD Y ESTADISTICA,T,1457,"17,30 - 19,00",,"17,30 - 19,00",,"17,30 - 19,00",,A8121
5,1503,ADMINISTRACION DE PROYECTOS,M,1507,,"11,00 - 13,00",,"11,00 - 13,00",,,A213
5,1521,DISEÃ‘O LOGICO (L),M,1507,,"09,00 - 11,00",,"09,00 - 11,00",,,A504
5,1500,DISEÃ‘O Y ANALISIS DE ALGORITMOS,M,1507,"13,00 - 15,00",,"13,00 - 15,00",,,,A505
5,442,LENGUAJES FORMALES-AUTOMATAS,M,1507,"11,30 - 12,50",,"11,30 - 12,50",,"11,30 - 12,50",,A214
5,1504,PROGRAMACION WEB 1,M,1507,"10,00 - 11,30",,"10,00 - 11,30",,"10,00 - 11,30",,A204
5,1503,ADMINISTRACION DE PROYECTOS,M,1508,"13,00 - 14,20",,"13,00 - 14,20",,"13,00 - 14,20",,A213
5,1521,DISEÃ‘O LOGICO (L),M,1508,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A211
5,1500,DISEÃ‘O Y ANALISIS DE ALGORITMOS,M,1508,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A214
5,442,LENGUAJES FORMALES-AUTOMATAS,M,1508,"08,40 - 10,00",,"08,40 - 10,00",,"08,40 - 10,00",,A507
5,1504,PROGRAMACION WEB 1,M,1508,,"11,00 - 13,00",,"11,00 - 13,00",,,A204
5,1503,ADMINISTRACION DE PROYECTOS,M,1509,,,,,,"11,00 - 3,00",VIRTUAL
5,1521,DISEÃ‘O LOGICO (L),M,1509,"13,00 - 15,00",,"13,00 - 15,00",,,,A215
5,1500,DISEÃ‘O Y ANALISIS DE ALGORITMOS,M,1509,"11,30 - 13,00",,"11,30 - 13,00",,"11,30 - 13,00",,A213
5,442,LENGUAJES FORMALES-AUTOMATAS,M,1509,,"07,00 - 09,00",,"07,00 - 09,00",,,A504
5,1504,PROGRAMACION WEB 1,M,1509,,"11,00 - 13,00",,"11,00 - 13,00",,,A203
5,1503,ADMINISTRACION DE PROYECTOS,M,1510,,"07,00 - 09,00",,"07,00 - 09,00",,,A505
5,1521,DISEÃ‘O LOGICO (L),M,1510,,"11,00 - 13,00",,"11,00 - 13,00",,,A8120
5,1500,DISEÃ‘O Y ANALISIS DE ALGORITMOS,M,1510,"13,00 - 14,20",,"13,00 - 14,20",,"13,00 - 14,20",,A212
5,442,LENGUAJES FORMALES-AUTOMATAS,M,1510,"11,00 - 13,00",,"11,00 - 13,00",,,,A504
