Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
7,789,SISTEMAS DE INFORMACION,M,1710,,"11,00 - 13,00",,"11,00 - 13,00",,,A215
7,1719,REDES DE COMPUTADORAS 1 (L),M,1711,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A212
7,789,SISTEMAS DE INFORMACION,M,1711,,,"10,00 - 14,00",,,,A205
7,1800,MICROPROCESADOR.Y MICROCONTROLAD.(L),T,1757,"15,00 - 16,20",,"15,00 - 16,20",,"15,00 - 16,20",,A505
7,1718,PROGRAMACION WEB 2,T,1757,,,,,"10,00 - 14,00",,A505
7,1719,REDES DE COMPUTADORAS 1 (L),T,1757,,"16,00 - 18,00",,"16,00 - 18,00",,,A506
7,789,SISTEMAS DE INFORMACION,T,1757,,"13,00 - 15,00",,"13,00 - 15,00",,,A213
7,1800,MICROPROCESADOR.Y MICROCONTROLAD.(L),T,1758,"15,00 - 17,00",,"15,00 - 17,00",,,,A8121
7,1718,PROGRAMACION WEB 2,T,1758,"17,00 - 19,15",,"17,00 - 19,15",,,,A204
7,1719,REDES DE COMPUTADORAS 1 (L),T,1758,"20,30 - 21,50",,"20,30 - 21,50",,"20,30 - 21,50",,A215
7,789,SISTEMAS DE INFORMACION,T,1758,"13,00 - 15,00",,"13,00 - 15,00",,,,A8120
7,1800,MICROPROCESADOR.Y MICROCONTROLAD.(L),T,1759,,"16,00 - 18,00",,"16,00 - 18,00",,,A8120
7,1718,PROGRAMACION WEB 2,T,1759,,"11,00 - 13,00",,"11,00 - 13,00",,,A11203
7,1719,REDES DE COMPUTADORAS 1 (L),T,1759,,"13,00 - 15,00",,"13,00 - 15,00",,,A504
7,789,SISTEMAS DE INFORMACION,T,1759,"19,00 - 20,20",,"19,00 - 20,20",,"19,00 - 20,20",,A214
7,1800,MICROPROCESADOR.Y MICROCONTROLAD.(L),T,1760,,"13,00 - 15,00",,"13,00 - 15,00",,,A505
7,1718,PROGRAMACION WEB 2,T,1760,,"15,00 - 17,00",,"15,00 - 17,00",,,A203
7,1719,REDES DE COMPUTADORAS 1 (L),T,1760,,"17,00 - 19,00",,"17,00 - 19,00",,,A11201
7,789,SISTEMAS DE INFORMACION,T,1760,,"20,00 - 22,00",,"20,00 - 22,00",,,A212
7,1800,MICROPROCESADOR.Y MICROCONTROLAD.(L),T,1761,"13,00 - 14,20",,"13,00 - 14,20",,"13,00 - 14,20",,A506
7,1718,PROGRAMACION WEB 2,T,1761,"13,00 - 14,30",,"13,00 - 14,30",,"13,00 - 14,30",,CCSAL9
8,1810,BASES DE DATOS 2,M,1807,,,,,,"7,00 - 11,00",VIRTUAL
8,1917,HABILIDADES DIRECTIVAS,M,1807,"09,00 - 11,00",,"09,00 - 11,00",,,,A11201
8,1812,PROGRAMACION MOVIL 1,M,1807,,"09,00 - 11,00",,"09,00 - 11,00",,,CCSAL5
8,1813,REDES DE COMPUTADORAS 2,M,1807,,"11,00 - 13,00",,"11,00 - 13,00",,,A11201
8,1810,BASES DE DATOS 2,M,1808,,"13,00 - 15,00",,"13,00 - 15,00",,,A203
8,1917,HABILIDADES DIRECTIVAS,M,1808,,"13,00 - 15,00",,"13,00 - 15,00",,,A8121
